GO:0005634	GO:0005851,GO:0005737
GO:0005739	GO:0005634,GO:0000118
GO:0005634,GO:0005737,GO:0001533,GO:0030054,GO:0030057	GO:0005829,GO:0005622,GO:0005634,GO:0005737
GO:0005737,GO:0005576	GO:0005886,GO:0016021
GO:0005851,GO:0005737	GO:0005576
GO:0009925,GO:0005886	GO:0005911,GO:0032587,GO:0005925,GO:0009897,GO:0008305,GO:0005886,GO:0001726,GO:0016021,GO:0071062
GO:0005739,GO:0005576,GO:0005575	GO:0005622,GO:0005737,GO:0005886,GO:0048471
GO:0005576	GO:0016020,GO:0016021
GO:0005739,GO:0008287,GO:0005759	GO:0044224,GO:0005737,GO:0016021
GO:0035267,GO:0016363,GO:0005622,GO:0005737,GO:0016020,GO:0030529,GO:0005634,GO:0071339,GO:0005654	GO:0005829,GO:0005886,GO:0005741
GO:0003682,GO:0003705,GO:0005634,GO:0006355,GO:0007275,GO:0016055,GO:0016563,GO:0030318,GO:0042127,GO:0043010,GO:0043066,GO:0043473,GO:0045165,GO:0045670,GO:0045944,GO:0046849	GO:0003743,GO:0005085,GO:0001541,GO:0005515,GO:0005737,GO:0005851,GO:0006413,GO:0006417,GO:0009408,GO:0009749,GO:0014003,GO:0031369,GO:0032057,GO:0042552,GO:0043434,GO:0044237,GO:0051716
